id,Domisili,Apakah Anda Mahasiswa / Fresh Graduate,Pekerjaan & Instansi Saat Ini,Tools yang Ingin Dipelajari,Target Join Komunitas,Tau Seara Data Dari Mana?,Provinsi,Cari Kerja
1,Jawa Tengah,Ya,Mahasiswa,"Python, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1
2,Padang,Ya,belum ada,"Excel, SQL, Python, Power BI","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Sumatera Barat,1
3,Surabaya,Ya,Freelance Web Development ,"Excel, SQL, Python, Power BI, Databases","Cari Kerja, Upskill, Networking",Teman,Jawa Timur,1
4,Bandung,Ya,Konsultan Perencanaan Kota,"Python, Power BI",Upskill,LinkedIn,Jawa Barat,0
5,Yogyakarta,Tidak,Senior Barista _- Esha kopi,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking, Switch Career",Teman,DI Yogyakarta,0
6,Tangerang ,Ya,"Data & Informasi System Staff, Kementerian Desa PDT","Excel, SQL, Power BI, Tableau","Upskill, Networking",Teman,Banten,0
7,Kudus,Tidak,Admin Personalia,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Tengah,1
8,Boyolali,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Airflow ","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1
9,Tangerang,Tidak,Senior Business Intelegence Dekoruma,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking",Instagram,Banten,0
10,"Sidoarjo, Jawa Timur",Tidak,Audit - PT Jawa Berkat Indonesia,"Excel, SQL, Python, Power BI, Looker Studio, Tableau","Cari Kerja, Upskill, Networking, Switch Career",Teman,Jawa Timur,1
11,Banyumas,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases",Cari Kerja,Instagram,Jawa Tengah,1
12,Jawa Tengah,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1
13,Bekasi,Ya,-,"Excel, SQL, Python, Power BI, Tableau",Upskill,Teman,Jawa Barat,0
14,Jakarta Timur,Tidak,Warehouse - Supply Chain,"Excel, SQL, Python, Power BI","Upskill, Networking",LinkedIn,Jakarta,0
15,Padang,Tidak,ASN,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Anything","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Sumatera Barat,1
16,Cianjur,Tidak,Staff HR di salah satu Bank Swasta,"Excel, SQL, Python, Power BI, Databases","Cari Kerja, Networking",Teman,Jawa Barat,1
17,Medan,Tidak,Idle,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Sumatera Utara,1
18,Gresik,Ya,Mahasiswa,"Excel, SQL, Python, Power BI, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Timur,1
19,Makassar,Ya,Quality System Intern,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Sulawesi Selatan,1
20,"Jawa Barat,",Ya,Freshgraduated,"Excel, SQL, Power BI, Looker Studio","Cari Kerja, Upskill",LinkedIn,Jawa Barat,1
21,Bandung ,Ya,Magang - Pemerintahan (BBPMP Jabar) ,"Power BI, Looker Studio, Tableau","Cari Kerja, Upskill",LinkedIn,Jawa Barat,1
22,Bekasi,Tidak,PT SOKKA TAMA FIBER,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking, Switch Career",Instagram,Jawa Barat,0
23,Tangerang,Ya,Student ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking",LinkedIn,Banten,0
24,Dumai,Tidak,Freelance,"Excel, SQL, Python, Power BI, Tableau",Upskill,LinkedIn,Riau,0
25,Dumai,Tidak,Freelance ,"Excel, SQL, Python, Power BI, Tableau",Upskill,LinkedIn,Riau,0
26,Pekanbaru,Tidak,Un employee ,"Excel, Python, Power BI","Upskill, Switch Career",LinkedIn,Riau,0
27,Depok,Ya,Politeknik Negeri Jakarta,"Excel, SQL, Python, Power BI, Looker Studio","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
28,Purworejo,Ya,-,"Excel, SQL, Python, Looker Studio","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1
